x,mean_S1,mean_S2,mean_S3,mean_S4,var_S1,var_S2,var_S3,var_S4,q95_S1,q95_S2,q95_S3,q95_S4
-2.0,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.9784172661870505,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.9568345323741008,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.935251798561151,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.9136690647482013,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.892086330935252,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.870503597122302,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.8489208633093528,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.8273381294964028,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
-1.805755395683453,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,3.37999999999324e-10,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,9.658848999979949e-08,0.0005112447694138,0.0005112447694138,0.0005112447694138,0.0005112447694138
