x,frag_cf,frag2_cf,mean_cf,var_cf,frag_mc,frag_mc_se,frag2_mc,frag2_mc_se,mean_mc,var_mc,frag_abs_err,frag2_abs_err,mean_rel_err,var_rel_err
0.8,1.5434063106153365e-05,9.074297851455442e-15,52.556188788266844,1123.880321594739,2e-05,6.324492074467324e-06,0.0,0.0,52.50121484587179,1124.6025590976938,4.565936893846637e-06,9.074297851455442e-15,0.0010470984825101414,0.0006422157740191482
0.8500000000000001,6.838613428002908e-05,1.3972021519833019e-13,58.41495480932906,1070.8083182743342,5.8e-05,1.0770017270181138e-05,0.0,0.0,58.38265211393167,1071.2269646031732,1.0386134280029077e-05,1.3972021519833019e-13,0.0005532927030165275,0.0003908101109031692
0.9,0.00026732663687293484,1.8615813003582017e-12,63.703169459034086,970.2304689190429,0.000224,2.1163639762573922e-05,0.0,0.0,63.66289634679967,971.5276553715573,4.332663687293484e-05,1.8615813003582017e-12,0.0006325994346067944,0.0013352028069837435
0.9500000000000001,0.0009253258378856481,2.1570373709514996e-11,68.24902803171098,844.7671159328454,0.00088,4.193389082830259e-05,0.0,0.0,68.245388533445,842.3555743395541,4.532583788564805e-05,2.1570373709514996e-11,5.332958525394369e-05,0.002862854674146443
1.0,0.0028457936889431977,2.1830365731279162e-10,72.00709401297627,718.9651702094226,0.002764,7.424769766127431e-05,0.0,0.0,71.98453040580573,719.4268984016263,8.179368894319777e-05,2.1830365731279162e-10,0.0003134507795402622,0.0006418000122452645
1.05,0.007801638420002821,1.9369291400182006e-09,75.08308232153577,614.1280368498931,0.007764,0.00012412671190360276,0.0,0.0,75.10071031022738,612.9344176472126,3.7638420002821145e-05,1.9369291400182006e-09,0.00023472465997720717,0.0019473848560539878
1.1,0.019127318963620042,1.511562322589116e-08,77.73880236573899,546.4911786462407,0.019038,0.00019326435033911456,0.0,0.0,77.71061328563982,546.4022775017424,8.931896362004282e-05,1.511562322589116e-08,0.0003627442752967774,0.00016270273415528607
1.1500000000000001,0.042079980065068925,1.0404779300521337e-07,80.36872275915265,527.5871537304599,0.042174,0.00028423706205911995,0.0,0.0,80.33771900058156,523.9940701203398,9.401993493107774e-05,1.0404779300521337e-07,0.0003859178348200836,0.006857107389201928
1.2000000000000002,0.08337592963457185,6.333234683731245e-07,83.43370089690573,563.3023769390016,0.083884,0.00039203947389006635,0.0,0.0,83.38590891123238,564.3959420448499,0.0005080703654281454,6.333234683731245e-07,0.0005731422286735866,0.0019375849902219101
1.25,0.1493972063386554,3.416494723325062e-06,87.34447245292341,648.8648438760529,0.149782,0.000504672869245019,2e-06,1.999997999999e-06,87.38345599838578,651.3481468006502,0.00038479366134461235,1.416494723325062e-06,0.0004461204356931395,0.0038125585169697727
1.3,0.24325809781169883,1.636765799048325e-05,92.31649110717883,762.3944057846172,0.244066,0.0006074500599127471,1.4e-05,5.291465581481184e-06,92.33155193601381,764.0060286646503,0.0008079021883011794,2.3676579904832506e-06,0.0001631168167238547,0.002109437386050404
1.35,0.3619904076723036,6.976985563251294e-05,98.25683508998286,866.1305420780145,0.363246,0.0006801446073946334,7.6e-05,1.2328359501571976e-05,98.30492936296493,868.458527660205,0.0012555923276963976,6.230144367487067e-06,0.0004892356191467706,0.002680594994515833
1.4000000000000001,0.4956937252687261,0.00026510083537572285,104.7596306917917,922.5731749212489,0.495478,0.0007070778620717806,0.000226,2.125788907676395e-05,104.74027763487625,921.9747670134977,0.00021572526872615239,3.910083537572286e-05,0.00018477186954681915,0.0006490502008959988
1.4500000000000002,0.6297738350292075,0.000899477254000083,111.25002570129661,919.0841728880264,0.629728,0.0006828918596908298,0.000904,4.2501359601782154e-05,111.2639206849987,918.6903552421293,4.583502920751936e-05,4.522745999916973e-06,0.00012488310331455743,0.00042867288597290366
1.5,0.7495461553726792,0.002730197653938363,117.23908820982638,883.4025438429122,0.749424,0.0006128420158964298,0.00259,7.187895241306735e-05,117.17162823938165,879.363529369344,0.0001221553726792335,0.000140197653938363,0.0005757363916366303,0.004593111197669235
1.55,0.84487107913787,0.007427770118991921,122.58531796455534,880.7000527012809,0.844562,0.0005124002891412142,0.00758,0.00012265841675156253,122.6360307052121,884.6851852164648,0.0003090791378699276,0.00015222988100807924,0.0004135223585199893,0.004504576974699516
1.6,0.9124753607212086,0.01815108339839763,127.65043202113904,1000.5628146222697,0.912418,0.00039977842181888716,0.018078,0.0001884207308976377,127.61197549905253,1000.0470941041139,5.736072120865465e-05,7.308339839762895e-05,0.00030135511918935186,0.0005156962319037947
1.6500000000000001,0.9552016896646313,0.0399368635824173,133.28357175248922,1342.5436468386595,0.955282,0.00029229540015539084,0.039942,0.00027693550381271086,133.2851325801785,1345.1987082745047,8.031033536870513e-05,5.136417582700392e-06,1.1710441060153323e-05,0.0019737317762153666
1.7000000000000002,0.9792667064585312,0.07934204598563366,140.6238522059823,1988.9369432675417,0.979248,0.00020160036952347084,0.079298,0.0003821251815727406,140.549337651746,1978.3565666549139,1.870645853119246e-05,4.4045985633664464e-05,0.0005301665271518302,0.005348063534632445
1.75,0.991346075568551,0.142814475391133,150.75017324679112,2946.5233256241004,0.99134,0.0001310343802213755,0.142686,0.0004946245149686781,150.75708905598555,2951.7661209498647,6.075568551033861e-06,0.00012847539113300388,4.58738573272419e-05,0.0017761553967823114
1.8,0.9967493052264503,0.23388046989603045,164.25227244483412,4075.397006807482,0.996858,7.914705093684766e-05,0.233766,0.0005985306295320232,164.19314359403774,4066.1154712589628,0.00010869477354968904,0.00011446989603045021,0.00036011766083593623,0.0022826541976303694
